"company_name","mth_yr","has_second","no_second"
"6th Sense Analytics","Jan-2007",0,1
"7 Billion People","Feb-2009",1,0
"71lbs","Jan-2013",1,0
"72Lux","Jan-2012",0,1
"7Summits","Jan-2010",0,1
"7signal Solutions","Jul-2013",0,1
"8020 Media","Jan-2006",0,1
"8D World","Mar-2008",0,1
"8thBridge","Jan-2010",0,1
"8tracks Radio","Oct-2011",0,1
"908 Devices","Sep-2012",0,1
"955 Dreams","Jan-2012",0,1
"99designs","Apr-2011",0,1
"9Lenses","Sep-2013",0,1
"9SLIDES","May-2013",0,1
"@Pay - Two-Click Checkout","Jul-2012",0,1
"A Curated World","Apr-2012",0,1
"A la Mobile","Jul-2005",0,1
"A&G Pharmaceutical","Sep-2005",0,1
"A10 Networks","Jan-2005",0,1
"A123 Systems","Nov-2005",0,1
"ABPathfinder","Dec-2012",0,1
"ABT Molecular Imaging","Jan-2010",0,1
"ACE","Sep-2011",0,1
"ACT Biotech","May-2008",1,0
"ADMA Biologics","Feb-2012",0,1
"ADOMIC (formerly YieldMetrics)","Jan-2013",0,1
"ADR Sales & Concepts","Nov-2010",1,0
"ADS-B Technologies","Jul-2013",1,0
"ADmantX","Jun-2011",0,1
"ADstruc","Aug-2010",1,0
"AEOLUS PHARMACEUTICALS","Apr-2012",0,1
"AFAR","Jan-2009",0,1
"AFCell Medical","Feb-2013",0,1
"AFrame Digital","Jan-2005",0,1
"AGLOGIC","Sep-2010",1,0
"AHAlife.com","Jul-2011",1,0
"AIO Robotics","May-2013",0,1
"AJ Consulting","Jan-2010",0,1
"AJAX Street","Jan-2008",0,1
"AKSEL GROUP","Nov-2011",0,1
"ALICE","Jun-2013",0,1
"ALKALINE WATER","Aug-2013",0,1
"ALLO Communications","May-2012",0,1
"ALung Technologies","Oct-2010",0,1
"AM Analytics","Sep-2009",0,1
"AMAX Global Services","Nov-2012",0,1
"AOI Medical","Jan-2012",0,1
"APPCityLife","Jun-2013",0,1
"APPEK Mobile Apps","Mar-2011",0,1
"APROOFED","Jun-2013",0,1
"APT Pharmaceuticals","Sep-2008",0,1
"APT Therapeutics","Jan-2005",0,1
"APerfectShirt.com","Nov-2012",0,1
"ARCA biopharma","Jun-2013",1,0
"AREVS","Jan-2013",0,1
"ASCENDANT MDX","Jun-2013",0,1
"ASSIA","Jun-2013",0,1
"AVOS Systems","Apr-2012",0,1
"AVST","Dec-2011",0,1
"Aardvark","Jan-2007",1,0
"Aarki","Mar-2012",1,0
"AbGenomics","Jun-2012",0,1
"Abakan","Oct-2012",1,0
"AbbeyPost","Jul-2013",0,1
"Abe's Market","Jun-2010",1,0
"Abide Therapeutics","Nov-2011",0,1
"AbilTo","May-2013",0,1
"Ability Dynamics","Feb-2012",0,1
"Abine","Jul-2011",0,1
"Ablative Solutions","Jan-2012",1,0
"Abodo","Aug-2013",0,1
"AboutOne","May-2011",1,0
"AboutUs.org","Jan-2009",0,1
"Acacia Communications","May-2013",0,1
"Acacia Research","Feb-2012",0,1
"Academia.edu","Apr-2010",1,0
"Academic Earth","Oct-2008",0,1
"AcademixDirect","Jan-2009",0,1
"AccelGolf","Sep-2009",1,0
"AccelOps","Oct-2007",0,1
"Accelera Mobile Broadband","Apr-2012",0,1
"Accelerated Orthopedic Technologies","May-2012",0,1
"Accelerated Vision Group","May-2012",0,1
"Accellion","Mar-2012",0,1
