"company_name","mth_yr","has_second","no_second"
"DocDep","Aug-2011",0,1
"DocLanding","Nov-2011",0,1
"DocRun","Feb-2012",0,1
"DocVerse","Jul-2008",0,1
"Docphin","Jan-2012",1,0
"Docracy","Nov-2011",0,1
"Docstoc","Nov-2007",0,1
"DocuSpeak","Sep-2012",0,1
"DocuTAP","Feb-2012",1,0
"Document Security Systems","Feb-2012",0,1
"DoesThatMakeSense.com","Sep-2009",0,1
"DogTime Media","Sep-2007",0,1
"DogVacay","Nov-2012",1,0
"Dogster","Sep-2006",0,1
"Dojo","Apr-2012",0,1
"Dokkankom.com","Oct-2011",0,1
"Dollar Shave Club","Mar-2012",1,0
"Dolls Kill","Jan-2012",0,1
"Domain Holdings Group","Jul-2011",0,1
"Domino Street","Apr-2012",0,1
"Domo","Jan-2012",1,0
"Done.","Nov-2011",0,1
"DonorPath","Jan-2013",0,1
"Doochoo","Jan-2011",1,0
"DoodleDeals Inc.","Feb-2010",0,1
"Door 6","Dec-2011",0,1
"Door to Door Organics","Aug-2012",0,1
"Doostang","Sep-2007",1,0
"DormNoise","Jan-2008",1,0
"Dormify","Jan-2012",0,1
"Dormzy","May-2010",0,1
"DotBlu","Jan-2007",1,0
"DotGT","May-2010",0,1
"DotLoop","May-2012",0,1
"DotNetNuke","Jan-2012",0,1
"DotSpots","Sep-2007",0,1
"Double Encore","Jul-2008",0,1
"Double the Donation","Jan-2011",0,1
"DoubleDutch","Apr-2011",0,1
"DoubleRecall","Feb-2012",0,1
"DoubleVerify","May-2009",0,1
"DoughMain","Aug-2011",0,1
"Down","Apr-2013",0,1
"Doximity","Mar-2011",0,1
"Doxo","Sep-2008",1,0
"Doyenz","Jun-2009",1,0
"Dr. TATTOFF","Jan-2013",0,1
"DraftKings","Jul-2012",1,0
"DraftMix","Jun-2007",0,1
"Draftstreet","May-2010",1,0
"Dragonfly","Mar-2008",0,1
"Draker","Aug-2008",0,1
"Drawbridge","May-2012",0,1
"DreamBox Learning","Oct-2007",1,0
"DreamCloset.com","Jan-2012",0,1
"DreamFactory Software","May-2006",0,1
"Dress Code","Aug-2012",0,1
"DriftToIt","Jun-2007",0,1
"Drifty","Jan-2013",0,1
"Drik","Aug-2013",0,1
"Drill Map","Aug-2013",1,0
"Drillinginfo","Mar-2012",0,1
"Drip Drop","Jul-2013",1,0
"Drippler","Jun-2011",0,1
"Drive Power","May-2012",0,1
"DriveFactor","Dec-2012",0,1
"DriverSide","Jul-2008",0,1
"Driveway Software","Jul-2012",1,0
"Drobo","Oct-2005",0,1
"DroneDeploy","May-2013",0,1
"Dropbox","Jun-2007",1,0
"Dropcam","Mar-2009",1,0
"Dropifi","Apr-2013",1,0
"Droplet Technology","Oct-2006",0,1
"Dropost.it","Aug-2011",0,1
"Druva","Apr-2010",0,1
"Drync","Aug-2013",0,1
"Dstillery (formerly Media6Degrees)","Aug-2008",0,1
"Dtime","Jan-2010",0,1
"Duable Chinese","Feb-2013",0,1
"DubMeNow","Aug-2008",1,0
"DuckDuckGo","Oct-2011",0,1
"DuckHook Media","Oct-2011",0,1
"DudaMobile","Jan-2010",0,1
"DueProps","Nov-2011",0,1
"Duetto","Dec-2012",1,0
"Dun & Bradstreet Credibility Corp.","Jul-2010",0,1
"Duo Security","Aug-2010",1,0
"Duolingo","Oct-2011",0,1
"Duxter","Mar-2012",1,0
"Dwolla","Nov-2009",1,0
"DxUpClose","Aug-2012",0,1
"Dympol","Apr-2008",0,1
"Dyn","Oct-2012",0,1
"Dynadec","Jan-2010",0,1
"Dynamic Organic Light","Mar-2005",0,1
"Dynamic Signal","Feb-2011",0,1
"Dynamix.tv","Jan-2010",0,1
"Dynamo Media","Jan-2011",1,0
"Dynamo Plastics","Jun-2013",0,1
"Dyyno","Jan-2007",1,0
"E la Carte","Jul-2010",0,1
"E-Band Communications","Jan-2006",0,1
"E-Cube Energy","Sep-2013",0,1
"E2america.com","Jan-2012",0,1
"EC Development","Jun-2011",0,1
"ECO","Sep-2013",0,1
"ECO2 Plastics","Jun-2008",0,1
"ECORE International","May-2008",0,1
"ELDR Media","Aug-2008",0,1
"ELERTS","Mar-2011",1,0
"EMUZE","Mar-2013",0,1
"ENTrigue Surgical","Nov-2011",0,1
"EPV SOLAR","Dec-2008",0,1
"EQAL","Apr-2008",0,1
"EQUISO","Jul-2012",1,0
"ERTH Technologies","Jun-2008",0,1
"ES Holdings","Nov-2011",0,1
"ETI International","Mar-2006",0,1
"EV Connect","Jan-2013",0,1
"EVO Media Group","Nov-2007",1,0
"EXO5","Jan-2007",0,1
"EXPO","Dec-2006",0,1
"EZCorp","Apr-2012",0,1
"EZprints.com","Jan-2007",0,1
"EagerPanda","Aug-2013",0,1
"Earbits","Jun-2011",0,1
"Earlier Media","Sep-2009",0,1
"EarlyShares","Aug-2012",0,1
"Earmark","Jul-2012",0,1
"Earth Class Mail","Jan-2008",1,0
"Earth Networks","Mar-2013",0,1
"Earth Renewable Technologies","Aug-2012",0,1
"Easel Learn","Aug-2012",1,0
"Easiest Credit Card To Get Approved For","May-2012",0,1
"East Central Mental Health","Aug-2010",0,1
"Easy Metrics","Sep-2013",0,1
"Easy Pairings","Jan-2013",0,1
"Easy Tempo","May-2013",0,1
"EasyPaint","Jan-2012",0,1
"EasyPost","Jun-2013",1,0
"Easycause","Jan-2012",0,1
"Eat Club","Apr-2013",1,0
"Eat Latin","Mar-2012",0,1
"EatLime","Jun-2008",0,1
"EatStreet","Feb-2013",0,1
"EatingWell","Feb-2002",0,1
"Ebook Glue","May-2013",0,1
"Ebyline","Nov-2010",0,1
"Echo","Aug-2007",0,1
"Echo Therapeutics","Jul-2009",0,1
"EchoSign","Oct-2005",0,1
"Echograph","Sep-2012",0,1
"Echoing Green","Sep-2013",0,1
"Echolocation","Jan-2013",0,1
"Ecinity","Apr-2013",0,1
"Eclipse Market Solutions","Jan-2011",0,1
"Eco Power Solutions","Oct-2008",0,1
"Eco Products","Sep-2008",0,1
"EcoDirect","Jun-2008",0,1
"EcoScraps","Jul-2012",0,1
"EcoSynthetix","Jan-2010",0,1
"EcoTimber","May-2007",0,1
"EdCaliber","Aug-2013",0,1
"EdRover","Mar-2011",0,1
"EdSurge","Aug-2012",0,1
"Edamam","Jan-2012",0,1
"Eden Park Illumination","Feb-2010",0,1
"Eden Therapeutics","Nov-2011",0,1
"EdeniQ","Apr-2008",0,1
"EdgeCast Networks","Jun-2007",1,0
"EdgeSpring","Jul-2010",1,0
"Edgeio","Jul-2007",1,0
"Edition01","May-2011",0,1
"Editorially","Jan-2012",0,1
"Edtrips","Jan-2013",0,1
"Education Elements","Mar-2012",1,0
"Education.com","Aug-2006",0,1
"Educreations","Aug-2012",0,1
"Edupath","Aug-2011",0,1
"Edventory","Jan-2013",0,1
"Edvert","Jul-2007",0,1
"Effector Therapeutics","May-2013",0,1
"Efreightsolutions Holdings","May-2012",0,1
"Egghead Interactive","Jan-2010",0,1
"Egnyte","Jul-2009",0,1
"Egoscue","May-2013",0,1
"Eiger BioPharmaceuticals","May-2013",1,0
"Eight Dimension Corporation","Apr-2013",0,1
"Eightfold Logic","Jun-2008",0,1
"Eko Devices","Sep-2013",0,1
"Ekotrope","Aug-2013",0,1
"Elance","Feb-2000",0,1
"Elastic","Mar-2011",0,1
"ElasticBox","Jun-2013",0,1
"Elastra","Aug-2007",0,1
"ElationEMR","Jun-2010",0,1
"Eldarion","May-2009",1,0
"ElectNext","Apr-2013",0,1
"ElectraTherm","Nov-2008",0,1
"Electro-Petroleum","Aug-2008",0,1
"ElectroCore","Nov-2012",0,1
"Electrolytic Ozone","Nov-2010",0,1
"Electronic Compliance Solutions","Jan-2013",0,1
"Electronic Compute Systems","Apr-2009",0,1
"Element Labs","Dec-2007",0,1
"Elemental Technologies","Dec-2007",1,0
"Elements Behavioral Health","Jan-2008",0,1
"Elephant.is","May-2012",0,1
"Elevance Renewable Sciences","Mar-2008",0,1
"Elevate","Dec-2011",0,1
"Elevate Digital","May-2012",0,1
"Elevation Pharmaceuticals","Jan-2010",1,0
"Elevator Labs","Aug-2011",0,1
"Eleven Biotherapeutics","Mar-2010",1,0
"Eliason Media","Oct-2009",0,1
"Elihuu","May-2013",0,1
"Elixir Medical","Mar-2005",0,1
"Ella Health","Jun-2012",0,1
"Ellevation","Jul-2013",0,1
"Ellie","Feb-2013",0,1
"Ellinee","Dec-2011",0,1
"Elton Digital","Sep-2009",0,1
"Embark","Jan-2012",1,0
"Embedly","Jan-2010",1,0
"Ember Entertainment","Oct-2012",1,0
"Ember Therapeutics","Dec-2011",0,1
"Embera NeuroTherapeutics","Aug-2011",0,1
"Embly","Jan-2012",0,1
"Emerald Logic","Oct-2012",0,1
"Emerging Threats","Jan-2013",0,1
"Emme E2MS","Oct-2012",0,1
"Emo Labs","Jun-2005",1,0
"Emotion Media","Apr-2008",0,1
"Emotive Communications","Apr-2007",0,1
"Empowered Careers","Jun-2011",1,0
"EmpowrNet","Jan-2013",0,1
"Empressr","Jan-2007",0,1
"Empyrean Benefit Solutions","Feb-2013",0,1
"Emu Chat","Jan-2013",0,1
"EnChroma","Jan-2010",1,0
"EnTouch Controls","Jul-2012",1,0
"Encarnate","Jan-2008",0,1
"Enchanted Diamonds","Jan-2013",0,1
"Encision","Apr-2012",0,1
"Encoding.com","Feb-2010",0,1
"Endeavor Commerce","Jun-2005",0,1
"Endeavour Software Technologies","Sep-2011",0,1
"Endeca","Jan-2001",0,1
"Enders Fund","Jan-2011",0,1
"Endgame","Oct-2010",0,1
"EndoGastric Solutions","Jun-2003",0,1
"EndoSphere","Jun-2011",0,1
"EndoStim","Jul-2010",0,1
"Endorphin.me","Sep-2012",0,1
"Endorse","Jan-2012",0,1
"Endorse.me","Jun-2012",0,1
"Endovention","Jun-2007",0,1
"Endurance Lending Network","May-2012",0,1
"EnduroPacks","Jun-2013",0,1
"EnerG2","Nov-2008",0,1
"EnerTrac","Sep-2011",1,0
"EnerVault","Feb-2010",0,1
"Energatix Studio","Mar-2012",0,1
"Energy Points","Feb-2012",0,1
"Energy Telecom","Apr-2012",0,1
"EnergyHub","Apr-2009",0,1
"EnergySavvy.com","Jul-2009",1,0
"EnergyWeb Solutions","Jun-2006",0,1
"Enernetics","Jan-2008",0,1
"Enertiv","Oct-2012",0,1
"Enervee","Jan-2011",0,1
"Engagement Media Technologies","Apr-2011",0,1
"Engine Yard","Jan-2008",0,1
"Engineered Carbon Solutions","Sep-2013",0,1
"EnglishCentral","Dec-2009",1,0
"Engrade","May-2012",0,1
"Enhanced Energy Group","Jul-2013",0,1
"Enhanced Surface Dynamics","Sep-2011",0,1
"Enigma Technologies","Feb-2013",0,1
"Enlyton","Oct-2012",0,1
"Enmetric Systems","May-2011",0,1
"Enmotus","Oct-2011",0,1
"Enodo Software","Mar-2012",0,1
"Enroute Systems","Nov-2009",0,1
"Ensemble Discovery","May-2004",0,1
"Ensighten","Sep-2012",0,1
"Enstratius","Nov-2011",0,1
"Ensysce Biosciences","Jun-2010",0,1
"Entellus Medical","Apr-2006",0,1
"Entelo","Jun-2013",0,1
"EnterpriseDB","Sep-2005",0,1
"Enterproid","Oct-2011",1,0
"Entest BioMedical","Aug-2011",0,1
"Enthuse","Apr-2012",1,0
"EnticeLabs","Sep-2009",1,0
"Entigral Systems","Jul-2013",0,1
"Entone Technologies","May-2003",0,1
"Entra Pharmaceuticals","Dec-2008",0,1
"Entrada","Sep-2010",0,1
"Entrecard","Jan-2007",1,0
"Enumeral Biomedical","May-2011",0,1
"Envia Systems","Oct-2008",0,1
"Envio Networks","Jun-2006",0,1
"Envis","Jan-2006",0,1
"Envision Healthcare","Nov-2011",0,1
"Envizio","Jan-2013",0,1
"Eons","Apr-2006",0,1
"EpiEP","Jul-2011",0,1
"Epic Playground","Jan-2012",1,0
"Epiphany","Mar-2007",0,1
"Eponym","Jan-2012",0,1
"Epoxy","Mar-2013",0,1
"Epunchit","Dec-2012",0,1
"Epy.io","Sep-2013",0,1
"EquaMetrics","May-2011",1,0
"EquipRent.com","Mar-2011",0,1
"EraGen Biosciences","Jan-2006",0,1
"Errund","Feb-2012",0,1
"Escapeer.com","Apr-2008",0,1
"Eso Technologies","Sep-2013",0,1
"Esperion Therapeutics","May-2008",0,1
"Essess, Inc","Apr-2012",0,1
"Estately","Nov-2010",1,0
"Estimize","Sep-2012",1,0
"Estimote","Jun-2013",0,1
"Estrada Beisbol","Dec-2011",0,1
"Etacts","May-2010",0,1
"Etelos","May-2012",0,1
"Eterniam","Aug-2013",0,1
"EternoGen","Jul-2013",0,1
"Etherios","Jan-2012",0,1
"Etology","Nov-2006",0,1
"Etsy","Nov-2006",1,0
"Eucalyptus Systems","Apr-2009",0,1
"Euclid","Jun-2010",1,0
"Eurekster","Dec-2004",0,1
"Euthymics Bioscience","Oct-2012",1,0
"Event Farm","Mar-2012",0,1
"EventVue","Sep-2007",1,0
"Eventbrite","Jun-2008",1,0
"Eventful","Mar-2005",0,1
"Eventup","Jun-2012",0,1
"EverSpin Technologies","Apr-2008",1,0
"EverTrue","Mar-2011",1,0
"Everest","Aug-2012",1,0
"Everfi","Sep-2010",0,1
"Evergage","May-2012",0,1
"Evergram","Jul-2012",1,0
"Everlane","Apr-2011",0,1
"Evernote","Sep-2009",1,0
"Everpath","Aug-2013",0,1
"Everpix","Nov-2011",1,0
"Eversnap","Jan-2013",0,1
"Eversync Solutions","Nov-2012",0,1
"Everwise","Jun-2013",1,0
"EveryMove","Jan-2011",1,0
"EveryScape","Jan-2005",0,1
"Everyday Health","Mar-2003",0,1
"Everypoint","Jun-2005",0,1
"Everypost","Sep-2012",1,0
"Everything But The House (EBTH)","May-2012",0,1
"Evident Software","Sep-2008",0,1
"Evident.io","Sep-2013",0,1
"Evidon","Jan-2009",0,1
"EvntLive","Feb-2013",0,1
"EvoApp","Apr-2012",1,0
"Evolutionary Genomics","Apr-2008",0,1
"Evolv","Jan-2008",0,1
"Evolve IP","Jan-2008",0,1
"Evolver","Aug-2008",0,1
"Evostor","Nov-2008",0,1
"Evoz","Jul-2011",1,0
"Evozym Biologics","Dec-2011",0,1
"Evri","Jan-2008",1,0
"ExaGrid Systems","Dec-2009",0,1
"Exajoule","Apr-2004",1,0
"Exaprotect","Jul-2006",0,1
"Excaliard Pharmaceuticals","Nov-2007",0,1
"Excel Business Intelligence","Sep-2013",0,1
"ExceleraRx","Oct-2011",0,1
"Exchangery","Jun-2011",0,1
"Exclusively.in","Nov-2010",0,1
"ExeCue","Sep-2008",0,1
"Exec","May-2012",0,1
"ExecOnline","Jul-2013",1,0
"Executive Caddie","Jan-2004",0,1
"Executive Intermediary","Jun-2008",0,1
"Exelis","Aug-2013",0,1
"Exercise.com","May-2010",0,1
"Exerscrip","Mar-2013",0,1
"Exhibition A","Jan-2010",0,1
"Exinda","May-2004",0,1
"Exit41","Apr-2010",0,1
"Exo Labs","Jul-2013",1,0
"Exodos Life Science Partners","Nov-2011",1,0
"Exosome Diagnostics","May-2010",0,1
"Expect Labs","Jul-2013",0,1
"Expedit.us","Jun-2009",0,1
"Expensify","May-2009",1,0
"Expert Medical Navigation","Jan-2010",0,1
"Expert Networks","Sep-2012",0,1
"Expert Planet","Jul-2008",0,1
"ExpertBids.com","Jan-2010",0,1
"ExpertFlyer","Mar-2004",0,1
"Explore.To Yellow Pages","Jun-2010",0,1
"ExtendCredit.com","Sep-2013",0,1
"Extension Entertainment","May-2010",1,0
"Extole","Apr-2009",1,0
"ExtraHop Networks","Apr-2009",0,1
"Extreme Enterprises","Jun-2009",1,0
"Extreme Reach","Mar-2009",1,0
"Eye-Fi","Jun-2007",0,1
"EyeCyte","Jun-2008",0,1
"EyeJot","May-2007",1,0
"EyeSpot","Oct-2006",0,1
"EyeVerify","May-2012",1,0
"EyeView","Jun-2008",1,0
"Eyeona","Oct-2011",0,1
"F-Origin","Jun-2007",0,1
"F.8 Interactive","Apr-2013",0,1
"FANCRU","Jan-2011",0,1
"FD9 Group","Sep-2012",0,1
"FFFavs","May-2011",1,0
"FIGS","Jul-2013",0,1
"FIMBex","Apr-2012",0,1
"FITiST","Mar-2012",0,1
"FIZZA","Jun-2011",0,1
"FONU2","May-2012",1,0
"FORA.tv","Oct-2007",1,0
"FORMA Therapeutics","Apr-2008",0,1
"FORVM","Jul-2012",1,0
"FP Complete","Oct-2012",0,1
"FRX Polymers","Jul-2009",0,1
"FSA Store","May-2011",0,1
"FUZE Fit For A Kid!","Feb-2008",0,1
"FX Bridge","Nov-2011",0,1
"Fab.com","Jan-2010",1,0
"Fabkids","Aug-2012",0,1
"Fablistic","Jan-2009",0,1
"Fabricly","Nov-2010",0,1
"Facebook","May-2005",1,0
"Facet Solutions","Jan-2004",0,1
"Facio","May-2012",0,1
"Factor Technology Group","Aug-2007",0,1
"Factual","Dec-2010",1,0
"Fair Observer","Aug-2010",0,1
"FairShare","Jul-2013",0,1
"FairSoftware","Jan-2007",0,1
"FaithStreet","Apr-2013",0,1
"Falcon Expenses, Inc.","May-2013",0,1
"FameCast","Jun-2007",0,1
"Famigo, Inc.","Mar-2012",0,1
"Familiar","Sep-2012",1,0
"FamilyFinds","Dec-2010",0,1
"FamilyLeaf","Jan-2012",0,1
"FamilyLink","Aug-2007",0,1
"Familybuilder","Feb-2008",0,1
"FanBoom","Jan-2008",0,1
"FanBridge","Nov-2010",1,0
"FanChatter","Jun-2009",0,1
"FanFound","Jan-2011",0,1
"FanFueled","Nov-2011",1,0
"FanGager (MyBrandz)","Feb-2009",0,1
"FanGo","Apr-2011",1,0
"FanIQ","Sep-2007",0,1
"FanLib","Nov-2006",0,1
"FanSnap","Nov-2008",1,0
"FanTrail","Apr-2011",0,1
"Fanaticall","Jan-2011",0,1
"Fanattac","Nov-2011",0,1
"Fanbase","Aug-2009",0,1
"Fanbouts","Jun-2012",0,1
"Fancloud","Nov-2011",1,0
"Fancorps","Jun-2007",0,1
"Fancred","Nov-2012",1,0
"Fancy","May-2010",1,0
"Fancy Hands","Nov-2011",0,1
"Fandeavor","Aug-2012",0,1
"Fanium","Jul-2012",1,0
"Fanminder","Nov-2011",0,1
"Fanplayr","Nov-2011",1,0
"FantasyBook","Jul-2007",0,1
"FantasyHub","Aug-2013",0,1
"Fanvibe","Sep-2010",0,1
"Fanzter","Jan-2008",0,1
"Fanzy","Feb-2012",1,0
"Farecast","Oct-2004",0,1
"Farehelper","Dec-2010",0,1
"Farfetch","Jul-2010",0,1
"FarmLogs","Jan-2013",0,1
"Farmeron","May-2012",1,0
"FarmersWeb","May-2013",0,1
"Farmigo","Aug-2009",0,1
"Fashion Playtes","Aug-2009",1,0
"Fashion Project","Apr-2013",1,0
"Fashion.me","Jan-2012",0,1
"Fashism","Nov-2010",0,1
"Fast Society","Nov-2010",0,1
"FastCall","Sep-2011",0,1
"FastCustomer","Sep-2011",0,1
"FastModel Sports","Mar-2013",0,1
"FastScaleTechnology","Mar-2007",0,1
"FastSoft","Jun-2007",0,1
"Fastly","Jan-2011",1,0
"Fastnote","Dec-2009",1,0
"Fat Spaniel Technologies","Oct-2006",0,1
"FatRedCouch","Jun-2012",0,1
"FatTail","Oct-2008",0,1
"Fate Therapeutics","Nov-2007",0,1
"Fathom Online","Jul-2004",0,1
"Fave Media","Jan-2008",0,1
"Faves","Jan-2004",0,1
"Feathr","Feb-2013",1,0
"FedBid","Jan-2012",0,1
"Federated Media","Mar-2006",1,0
"Federated Sample","Nov-2011",0,1
"FeeFighters","Aug-2010",1,0
"FeeSeeker.com, LLC","Aug-2011",0,1
"FeedBurner","Jun-2004",0,1
"Feedgen","Jan-2011",1,0
"Feedjit","Jan-2008",0,1
"Feedlooks","Sep-2010",0,1
"Feedtrace","Mar-2010",0,1
"Femta Pharmaceuticals","Oct-2010",0,1
"Fendza Employee Scheduling Software","Jan-2009",0,1
"Fenix International","Jan-2009",0,1
"FertilityAuthority","Jun-2009",0,1
"Fetch MD","Jun-2013",0,1
"FetchBack","Jan-2008",0,1
"FetchDog","Feb-2009",0,1
"Fetchnotes","Aug-2012",0,1
"Feuerlabs","Feb-2013",0,1
"FiPath","Jun-2010",0,1
"FibeRio","Sep-2011",0,1
"FiberZone Networks","Apr-2003",0,1
"Fibroblast","Jun-2012",0,1
"Fidelis","May-2013",0,1
"Fidelis Security Systems","May-2005",0,1
"Fidelis SeniorCare","May-2013",0,1
"Field Agent","Mar-2013",0,1
"FieldLens","Sep-2012",0,1
"FieldView Solutions","Dec-2009",0,1
"Fielding Systems","Aug-2013",0,1
"Fieldwire","May-2013",0,1
"Fiesta Frog","Mar-2012",1,0
"Fifteen Reasons","Aug-2007",0,1
"Fifth Generation Systems","Nov-2006",0,1
"Fifty100","Feb-2009",0,1
"FiftyThree","Jun-2013",1,0
"Figaro Systems","Jan-2013",0,1
"Figma","Jun-2013",0,1
"Figure 8 Surgical","Feb-2012",0,1
"Fiksu","Nov-2010",0,1
"File & ServeXpress Holdings","Dec-2012",0,1
"FileLife","Jan-2013",0,1
"Fileblaze","Jan-2011",1,0
"Fileboard","Oct-2011",0,1
"FilmCrave","Jan-2007",0,1
"FilmLoop","Feb-2005",0,1
"Filmmortal","May-2009",1,0
"Filmzu","Sep-2012",0,1
"Filter Foundry","Apr-2011",0,1
"Filtrbox","Aug-2007",1,0
"Fina Technologies","Dec-2009",0,1
"Financial Guard","Jul-2013",0,1
"Find That File","Jan-2008",0,1
"FindMySong","Jan-2013",1,0
"FindTheBest","Dec-2010",1,0
"Findery","Feb-2012",0,1
"Finovera","Feb-2012",0,1
"Finsphere","Jun-2008",0,1
"Fippex","Jan-2012",0,1
"FireEye","Sep-2013",1,0
"FireFly LED Lighting","Aug-2011",0,1
"FireHost","Mar-2010",0,1
"Firebase","Jun-2013",1,0
"Firefly Energy","Oct-2004",0,1
"Firespotter Labs","May-2011",0,1
"Firetide","Jun-2003",0,1
"Firm58","Apr-2007",0,1
"First Opinion","Mar-2013",0,1
"First To File","May-2009",1,0
"First Warning Systems","Aug-2012",0,1
"First Wave Technologies","Jul-2013",0,1
"First30Days","Jan-2007",1,0
"FirstFuel Software","Feb-2012",0,1
"FirstJob","Nov-2011",0,1
"FirstString","Mar-2008",0,1
"FiscalNote","Sep-2013",1,0
"Fischer Medical Technologies","Apr-2012",0,1
"Fishbowl","Apr-2007",1,0
"Fisher Coachworks","Feb-2009",0,1
"Fisker Automotive","May-2010",0,1
"FitOrbit","Apr-2008",0,1
"FitStar","Jun-2013",0,1
"Fitbit","Oct-2008",0,1
"Fitness Partners","Nov-2011",0,1
"Fitness on Request","Aug-2013",0,1
"FitnessKeeper","Nov-2009",0,1
"Fitocracy","Sep-2011",0,1
"Fitsistant","Sep-2011",0,1
"Five Delta","May-2013",0,1
"FiveRuns","Sep-2005",0,1
"FiveStars Loyalty","Aug-2012",1,0
"Fix8","Oct-2007",0,1
"Fixes 4 Kids","Apr-2013",0,1
"Fixya","Jan-2007",0,1
"Flag Day Consulting Services","Aug-2007",0,1
"FlagTap","Aug-2013",0,1
"Flare Code","Aug-2011",0,1
"Flareo","Oct-2011",0,1
"Flash Valet","Sep-2012",0,1
"FlashSoft","Jun-2011",0,1
"FlashStarts","Jun-2013",0,1
"Flashnotes","Oct-2012",1,0
"Flat World Knowledge","Mar-2009",0,1
"FlatBurger","Mar-2006",1,0
"Flatiron Apps","Mar-2012",0,1
"Flatiron Health","Jan-2013",0,1
"Flatsourcing","Jan-2007",0,1
"FlexMinder","Jan-2013",1,0
"FlexScore","Apr-2013",0,1
"Flexible Medical Systems","Sep-2007",0,1
"Flexion Therapeutics","Jan-2010",1,0
"Flextrip","Nov-2011",1,0
"Flexuspine","Nov-2011",0,1
"FlickIM","Mar-2007",0,1
"Flicstart","May-2012",0,1
"FlightCar","Apr-2013",1,0
"FlightCaster","Nov-2009",1,0
"FlightStats","Jan-2003",0,1
"Flightfox","May-2012",0,1
"Fliiby","Jan-2008",0,1
"Flingo","Feb-2012",1,0
"Flinja","Sep-2013",0,1
"Flint","May-2012",0,1
"Flint and Tinder","Oct-2012",0,1
"FlipKey","Aug-2008",1,0
"Flipboard","Jul-2010",0,1
"Flipiture","Dec-2011",1,0
"Flipps","Dec-2012",0,1
"Fliptop","Mar-2013",1,0
"Fliptu","Mar-2012",0,1
"Fliqq","May-2013",0,1
"Fliqz","Jan-2006",0,1
"Flirq","Sep-2011",1,0
"Flixster","Feb-2007",1,0
"Flo Water","Mar-2013",0,1
"FloQast","Jun-2013",0,1
"Flock","Jan-2005",1,0
"FlockTAG","May-2013",0,1
"Flomio","Jan-2012",1,0
"Floored","Dec-2012",0,1
"Flotype","Jan-2012",0,1
"Flow Search Corporation","Oct-2012",1,0
"FlowPay","Oct-2012",0,1
"FlowPlay","May-2007",1,0
"Flowgram","Jan-2008",0,1
"Flowtown","Aug-2010",0,1
"Flud","Apr-2011",0,1
"Fluencr","Sep-2013",1,0
"Fluid Entertainment","Mar-2008",0,1
"Fluidinfo","Sep-2009",1,0
"Flurry","Mar-2007",0,1
"Fluther","Sep-2009",0,1
"Flutter","Jun-2012",0,1
"FlyCast","Jan-2008",0,1
"Flypaper","Feb-2008",0,1
"Flywheel Software","Jun-2012",0,1
"FohBoh","Aug-2008",0,1
"Folica","Jan-2007",0,1
"FonJax","Apr-2007",0,1
"Fonality","Jun-2005",0,1
"Fondu","Nov-2011",0,1
"Fonemesh","Jun-2008",1,0
"Foneshow","Sep-2006",1,0
"Fontacto","Apr-2012",0,1
"FooMojo","Dec-2008",0,1
"Food Genius","Sep-2012",1,0
"Food Runner","Jun-2013",0,1
"Food Sprout","Jan-2009",0,1
"Food52","Jan-2010",1,0
"FoodBox","Sep-2011",1,0
"FoodEssentials","Jun-2012",1,0
"FoodFan","Jan-2012",0,1
"Fooda","May-2011",0,1
"Foodem","May-2013",1,0
"FoodieBytes.com","Nov-2011",0,1
"Foodini","Nov-2012",0,1
"Foodista","Apr-2009",0,1
"Foodoro","Jan-2009",0,1
"Foodspotting","Aug-2010",1,0
"Foodtoeat","Jul-2011",0,1
"FoodyDirect","Jan-2012",0,1
"Foodzie","May-2008",1,0
"Footnote","Jan-2008",1,0
"Forbes Travel Guide","Aug-2011",0,1
"Forcura","Jul-2012",0,1
"Formspring","Mar-2010",0,1
"Forrst","Mar-2011",0,1
"Forsake","May-2013",0,1
"Forsyth Technical Community College","Jun-2013",0,1
"Fortisphere","Nov-2007",0,1
"Fortressware","May-2007",0,1
"Forum Info-Tech","Aug-2013",0,1
"ForwardMetrics","Jul-2013",0,1
"Fotolia","May-2009",0,1
"Fotomoto","Dec-2008",1,0
"FoundHealth.com","Aug-2010",0,1
"Foundation Medicine","Oct-2011",0,1
"Foundation Radiology Group","Apr-2009",0,1
"Foundation3","Dec-2009",0,1
"FoundationDB","Dec-2011",0,1
"FounderSync","Oct-2011",0,1
"Fourandhalf","Jan-2013",0,1
"Foursquare","Sep-2009",0,1
"Fracture","May-2012",0,1
"Fraudwall Technologies","Mar-2007",0,1
"Frayman Group","Feb-2007",0,1
"Frazr","May-2007",0,1
"Frederick's of Hollywood Group","Jun-2012",0,1
"Fredio","May-2012",0,1
"Free All Media","Oct-2009",0,1
"FreeLunched","Jan-2010",0,1
"FreeMonee","May-2012",0,1
"Freebeepay","Nov-2012",0,1
"Freedom Meditech","Sep-2012",0,1
"Freedom2","Mar-2007",0,1
"FreedomPop","Jul-2013",1,0
"Freeosk Inc","Aug-2013",0,1
"Freepath","Jan-2008",0,1
"Freight Farms","Feb-2013",0,1
"Frengo","Dec-2006",0,1
"Frensenius Vascular Care","Jan-2012",0,1
"Frequency","May-2011",0,1
"Frequent Browser","Jan-2010",0,1
"Fresenius Medical Care North Cape May","Sep-2013",0,1
"Fresh Coast Lithotripsy","May-2013",0,1
"Fresh Direct","Oct-2003",0,1
